title,Production company,Country,Language,Running time,Budget,Box office,Release date,overview,imdb,metascore,rotten_tomatoes,director,Produced by,Based on,cast,music,Distributed by,Cinematography,Edited by,Screenplay by
Meet the Robinsons,"['Walt Disney Pictures', 'Walt Disney Animation Studios']",United States,English,94,150000000,169300000,23/03/2007,"When an orphaned child genius named Lewis has his science fair project ruined by forces from the future he must join with a strange boy who claims to be from the future to steal his invention back, fix it and save a new found family from a bleak future where mind control devices enslave the masses.",6.8,61,67%,Stephen Anderson,Dorothy McKim,"['A Day with Wilbur Robinson', 'by', 'William Joyce']","['Daniel Hansen', 'Jordan Fry', 'Wesley Singerman', 'Angela Bassett', 'Tom Selleck', 'Harland Williams', 'Laurie Metcalf', 'Nicole Sullivan', 'Adam West', 'Ethan Sandler', 'Tom Kenny', 'Stephen Anderson']",Danny Elfman,Buena Vista Pictures Distribution,,Ellen Keneshea,"['Jon Bernstein', 'Michelle Spritz', 'Don Hall', 'Nathan Greno', 'Aurion Redson', 'Joe Mateo', 'Stephen Anderson']"
Ratatouille,,United States,English,111,150000000,620700000,22/06/2007,A rat who can cook makes an unusual alliance with a young kitchen worker at a famous Paris restaurant.,8,96,96%,Brad Bird,Brad Lewis,,"['Patton Oswalt', 'Ian Holm', 'Lou Romano', 'Janeane Garofalo', 'Brad Garrett', ""Peter O'Toole"", 'Brian Dennehy', 'Peter Sohn', 'Will Arnett']",Michael Giacchino,Buena Vista Pictures Distribution,"['Sharon Calahan', 'Robert Anderson']","['Darren T. Holmes', 'Stan Webb']",Brad Bird
WALL-E,,United States,,97,180000000,521300000,23/06/2008,"In the distant future, a small waste-collecting robot inadvertently embarks on a space journey that will ultimately decide the fate of mankind.",8.4,95,95%,Andrew Stanton,Jim Morris,,"['Ben Burtt', 'Elissa Knight', 'Jeff Garlin', 'Fred Willard', 'John Ratzenberger', 'Kathy Najimy', 'Sigourney Weaver']",Thomas Newman,Walt Disney Studios Motion Pictures,"['Jeremy Lasky', 'Danielle Feinberg']",Stephen Schaffer,"['Andrew Stanton', 'Jim Reardon']"
Bolt,"['Walt Disney Pictures', 'Walt Disney Animation Studios']",United States,English,96,150000000,310000000,21/11/2008,The canine star of a fictional sci-fi/action show that believes his powers are real embarks on a cross country trek to save his co-star from a threat he believes is just as real.,6.8,67,89%,"['Chris Williams', 'Byron Howard']",Clark Spencer,,"['John Travolta', 'Miley Cyrus']",John Powell,"['Walt Disney Studios', 'Motion Pictures']",,Tim Mertens,"['Dan Fogelman', 'Chris Williams']"
Up,"['Walt Disney Pictures', 'Pixar Animation Studios']",United States,English,96,175000000,735100000,29/05/2009,"78-year-old Carl Fredricksen travels to Paradise Falls in his house equipped with balloons, inadvertently taking a young stowaway.",8.2,88,98%,Pete Docter,Jonas Rivera,,"['Ed Asner', 'Christopher Plummer', 'Jordan Nagai']",Michael Giacchino,"['Walt Disney Studios', 'Motion Pictures']","['Patrick Lin', 'Jean-Claudie Kalache']",Kevin Nolting,"['Bob Peterson', 'Pete Docter']"
Ponyo,Studio Ghibli,Japan,Japanese,101,,,19/07/2008,"A five-year-old boy develops a relationship with Ponyo, a young goldfish princess who longs to become a human after falling in love with him.",7.7,86,91%,Hayao Miyazaki,Toshio Suzuki,"['The Little Mermaid', 'by', 'Hans Christian Andersen']","['Tomoko Yamaguchi', 'Kazushige Nagashima', 'YÅ«ki Amami', 'George Tokoro', 'Yuria Nara', 'Hiroki Doi', 'Rumi Hiiragi', 'Akiko Yano', 'Kazuko Yoshiyuki', 'Tomoko Naraoka']",Joe Hisaishi,Toho,Atsushi Okui,Takeshi Seyama,
A Christmas Carol,"['Walt Disney Pictures', 'ImageMovers Digital']",United States,English,96,175000000,325000000,03/11/2009,"An animated retelling of Charles Dickens' classic novel about a Victorian-era miser taken on a journey of self-redemption, courtesy of several mysterious Christmas apparitions.",6.8,55,52%,Robert Zemeckis,"['Steve Starkey', 'Robert Zemeckis', 'Jack Rapke']","['A Christmas Carol', 'by', 'Charles Dickens']","['Jim Carrey', 'Gary Oldman', 'Colin Firth', 'Bob Hoskins', 'Robin Wright Penn', 'Cary Elwes']",Alan Silvestri,Walt Disney Studios Motion Pictures,Robert Presley,Jeremiah O'Driscoll,
The Princess and the Frog,"['Walt Disney Pictures', 'Walt Disney Animation Studios']",United States,English,97,105000000,270000000,25/11/2009,"A waitress, desperate to fulfill her dreams as a restaurant owner, is set on a journey to turn a frog prince back into a human being, but she has to face the same problem after she kisses him.",7.1,73,85%,"['Ron Clements', 'John Musker']",Peter Del Vecho,"['The Frog Prince by Brothers Grimm', 'The Frog Princess by E. D. Baker']","['Anika Noni Rose', 'Bruno Campos', 'Keith David', 'Michael-Leon Wooley', 'Jim Cummings', 'Jennifer Cody', 'Peter Bartlett', 'Jenifer Lewis', 'Oprah Winfrey', 'Terrence Howard', 'John Goodman']",Randy Newman,"['Walt Disney Studios', 'Motion Pictures']",,Jeff Draheim,"['Ron Clements', 'John Musker', 'Rob Edwards']"
Toy Story 3,"['Walt Disney Pictures', 'Pixar Animation Studios']",United States,English,103,200000000,1067000000,12/06/2010,"The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned and to return home.",8.3,92,98%,Lee Unkrich,Darla K. Anderson,,"['Tom Hanks', 'Tim Allen', 'Joan Cusack', 'Don Rickles', 'Wallace Shawn', 'John Ratzenberger', 'Estelle Harris', 'Blake Clark', 'Jeff Pidgeon', 'Ned Beatty', 'Michael Keaton', 'Jodi Benson', 'John Morris']",Randy Newman,"['Walt Disney Studios', 'Motion Pictures']","['Jeremy Lasky', 'Kim White']",Ken Schretzmann,Michael Arndt
Tales from Earthsea,Studio Ghibli,Japan,Japanese,115,22000000,,29/07/2006,"In a mythical land, a man and a young boy investigate a series of unusual occurrences.",6.4,47,,GorÅ Miyazaki,"['Toshio Suzuki', 'Tomohiko Ishii']","['Earthsea', 'by', 'Ursula K. Le Guin']","['Bunta Sugawara', 'Junichi Okada', 'Aoi Teshima', 'YÅ«ko Tanaka']",Tamiya Terashima,Toho,,Takeshi Seyama,"['GorÅ Miyazaki', 'Keiko Niwa']"
Tangled,"['Walt Disney Pictures', 'Walt Disney Animation Studios']",United States,English,100,260000000,592400000,14/11/2010,"The magically long-haired Rapunzel has spent her entire life in a tower, but now that a runaway thief has stumbled upon her, she is about to discover the world for the first time, and who she really is.",7.7,71,89%,"['Nathan Greno', 'Byron Howard']",Roy Conli,"['Rapunzel', 'by the', 'Brothers Grimm']","['Mandy Moore', 'Zachary Levi', 'Donna Murphy']",Alan Menken,Walt Disney Studios Motion Pictures,,Tim Mertens,Dan Fogelman
Mars Needs Moms,"['Walt Disney Pictures', 'ImageMovers Digital']",United States,English,88,150000000,39200000,11/03/2011,A young boy named Milo gains a deeper appreciation for his mom after Martians come to Earth to take her away.,5.4,49,37%,Simon Wells,"['Robert Zemeckis', 'Jack Rapke', 'Steve Starkey', 'Steven Boyd']","['Mars Needs Moms!', 'by', 'Berkeley Breathed']","['Seth Green', 'Dan Fogler', 'Tom Everett Scott', 'Elisabeth Harnois', 'Mindy Sterling', 'Joan Cusack']",John Powell,"['Walt Disney Studios', 'Motion Pictures']",Robert Presley,Wayne Wahrman,"['Simon Wells', 'Wendy Wells']"
Cars 2,"['Walt Disney Pictures', 'Pixar Animation Studios']",United States,English,106,200000000,562100000,18/06/2011,Star race car Lightning McQueen and his pal Mater head overseas to compete in the World Grand Prix race. But the road to the championship becomes rocky as Mater gets caught up in an intriguing adventure of his own: international espionage.,6.1,57,39%,John Lasseter,Denise Ream,,"['Owen Wilson', 'Larry the Cable Guy', 'Michael Caine', 'Emily Mortimer', 'John Turturro', 'Eddie Izzard']",Michael Giacchino,"['Walt Disney Studios', 'Motion Pictures']","['Jeremy Lasky', 'Sharon Calahan']",Stephen Schaffer,Ben Queen
Winnie the Pooh,,United States,English,69,30000000,50100000,06/04/2011,"While searching for honey, Pooh and his friends embark on an adventure to find Eeyore's missing tail and rescue Christopher Robin from an unknown monster called The Backson.",7.2,74,91%,"['Stephen Anderson', 'Don Hall']","['Peter Del Vecho', 'Clark Spencer']","['A. A. Milne', 'E. H. Shepard']","['Jim Cummings', 'Jack Boulter', 'Travis Oates', 'Bud Luckey', 'Tom Kenny', 'Craig Ferguson', 'Kristen Anderson-Lopez', 'Wyatt Hall', 'Huell Howser']",Henry Jackman,"['Walt Disney Studios', 'Motion Pictures']","['Julio Macat', '(live-action scenes)']",Lisa Linder Silver,
Arrietty,Studio Ghibli,Japan,Japanese,95,23000000,146000000,17/07/2010,"The Clock family are four-inch-tall people who live anonymously in another family's residence, borrowing simple items to make their home. Life changes for the Clocks when their teenage daughter, Arrietty, is discovered.",7.6,80,95%,Hiromasa Yonebayashi,Toshio Suzuki,"['The Borrowers', 'by', 'Mary Norton']","['Mirai Shida', 'Ryunosuke Kamiki', 'Shinobu Otake', 'Keiko Takeshita', 'Tatsuya Fujiwara', 'Tomokazu Miura', 'Kirin Kiki']",CÃ©cile Corbel,Toho,Atsushi Okui,"['Keiko Kadokawa', 'Rie Matsubara', 'Hiromi Sasaki', 'Takeshi Seyama']","['Hayao Miyazaki', 'Keiko Niwa']"
Arjun: The Warrior Prince,"['Walt Disney Pictures', 'Walt Disney Pictures India', 'UTV Motion Pictures']",India,Hindi,96,,,25/05/2012,The tale of how Arjuna fought his inner self and became the legendary archer.,6.8,N/A,67%,Arnab Chaudhuri,"['Ronnie Screwvala', 'Siddharth Roy Kapur']",,,"['Songs:', 'Vishal Shekhar', 'Background Score:', 'Dhruv Ghanekar']",UTV Motion Pictures,Hemant Chaturvedi,A. Sreekar Prasad,Rajesh Devraj
Brave,"['Walt Disney Pictures', 'Pixar Animation Studios']","['United Kingdom', 'United States']",English,93,185000000,540400000,10/06/2012,"Determined to make her own path in life, Princess Merida (Kelly Macdonald) defies a custom that brings chaos to her kingdom. Granted one wish, Merida must rely on her bravery and her archery skills to undo a beastly curse.",7.1,69,78%,"['Mark Andrews', 'Brenda Chapman']",Katherine Sarafian,,"['Kelly Macdonald', 'Emma Thompson', 'Billy Connolly', 'Julie Walters', 'Robbie Coltrane', 'Kevin McKidd', 'Craig Ferguson']",Patrick Doyle,"['Walt Disney Studios', 'Motion Pictures']","['Robert Anderson', 'Danielle Feinberg']",Nicholas C. Smith,"['Mark Andrews', 'Steve Purcell', 'Brenda Chapman', 'Irene Mecchi']"
Frankenweenie,"['Walt Disney Pictures', 'Tim Burton Productions']",United States,English,87,39000000,81500000,20/09/2012,"When young Victor's pet dog Sparky (who stars in Victor's home-made monster movies) is hit by a car, Victor decides to bring him back to life the only way he knows how. But when the bolt-necked ""monster"" wreaks havoc and terror in the hearts of Victor's neighbors, he has to convince them (and his parents) that despite his appearance, Sparky's still the good loyal friend he's always been",6.9,74,87%,Tim Burton,"['Tim Burton', 'Allison Abbate']","['Tim Burton', 'Lenny Ripps']","[""Catherine O'Hara"", 'Martin Short', 'Martin Landau', 'Charlie Tahan', 'Atticus Shaffer', 'Winona Ryder']",Danny Elfman,Walt Disney Studios Motion Pictures,Peter Sorg,"['Chris Lebenzon', 'Mark Solomon']",John August
Wreck-It Ralph,"['Walt Disney Pictures', 'Walt Disney Animation Studios']",United States,English,101,165000000,471200000,29/10/2012,"A video game villain wants to be a hero and sets out to fulfill his dream, but his quest brings havoc to the whole arcade where he lives.",7.7,72,87%,Rich Moore,Clark Spencer,,"['John C. Reilly', 'Sarah Silverman', 'Jack McBrayer', 'Jane Lynch']",Henry Jackman,Walt Disney Studios Motion Pictures,Rob Dressel,Tim Mertens,"['Phil Johnston', 'Jennifer Lee']"
Monsters University,,United States,English,104,200000000,743600000,05/06/2013,"A look at the relationship between Mike Wazowski (Billy Crystal) and James P. ""Sully"" Sullivan (John Goodman) during their days at Monsters University, when they weren't necessarily the best of friends.",7.3,65,80%,Dan Scanlon,Kori Rae,,"['Billy Crystal', 'John Goodman', 'Steve Buscemi', 'Helen Mirren', 'Peter Sohn', 'Joel Murray', 'Sean Hayes', 'Dave Foley', 'Charlie Day', 'Nathan Fillion']",Randy Newman,"['Walt Disney Studios', 'Motion Pictures']","['Matt Aspbury', 'Jean-Claude Kalache']",Greg Snyder,
Planes,"['Walt Disney Pictures', 'Disneytoon Studios']",United States,English,92,50000000,239300000,02/08/2013,A cropdusting plane with a fear of heights lives his dream of competing in a famous around-the-world aerial race.,5.7,39,25%,Klay Hall,Tracy Balthazor-Flynn,,"['Dane Cook', 'Stacy Keach', 'Teri Hatcher', 'Priyanka Chopra', 'Brad Garrett', 'Julia Louis-Dreyfus', 'Roger Craig Smith', 'John Cleese', 'Carlos Alazraqui', 'Sinbad', 'Val Kilmer', 'Anthony Edwards']",Mark Mancina,"['Walt Disney Studios', 'Motion Pictures']",,Jeremy Milton,Jeffrey M. Howard
Frozen,"['Walt Disney Pictures', 'Walt Disney Animation Studios']",United States,English,102,150000000,1280000000,19/11/2013,"When their kingdom becomes trapped in perpetual winter, fearless Anna joins forces with mountaineer Kristoff and his reindeer sidekick to find Anna's sister, Snow Queen Elsa, and break her icy spell. Although their epic journey leads them to encounters with mystical trolls, a comedic snowman, harsh conditions, and magic at every turn, Anna and Kristoff bravely push onward in a race to save their kingdom from winter's cold grip.",7.4,75,90%,"['Chris Buck', 'Jennifer Lee']",Peter Del Vecho,,"['Kristen Bell', 'Idina Menzel', 'Jonathan Groff', 'Josh Gad', 'Santino Fontana']","['Christophe Beck', 'Robert Lopez', 'Kristen Anderson-Lopez']","['Walt Disney Studios', 'Motion Pictures']","['Scott Beattie', '(layout)', 'Mohit Kallianpur', '(lighting)']",Jeff Draheim,Jennifer Lee
Planes: Fire & Rescue,"['Walt Disney Pictures', 'Disneytoon Studios']",United States,English,84,50000000,147000000,15/07/2014,"When Dusty learns that his engine is damaged and he may never race again, he joins a forest fire and rescue unit to be trained as a firefighter, or else his air strip will be shut down.",6,48,45%,Bobs Gannaway,Ferrell Barron,,"['Dane Cook', 'Stacy Keach', 'Brad Garrett', 'Danny Mann', 'Teri Hatcher', 'Julie Bowen', 'Ed Harris', 'Regina King', 'Wes Studi', 'Dale Dye']",Mark Mancina,"['Walt Disney Studios', 'Motion Pictures']",,Dan Molina,
Big Hero 6,"['Walt Disney Pictures', 'Walt Disney Animation Studios']",United States,English,102,165000000,657800000,23/10/2014,"Robotics nerd Hiro Hamada discovers an inflatable health care robot Baymax created in the past by his brother, Tadashi. After a terrible life-changing accident, Hiro and Baymax team up with four other nerds and save their hometown San Fransokyo from an evil super villain trying to take over with Hiro's invention.",7.8,74,89%,"['Don Hall', 'Chris Williams']",Roy Conli,['Man of Action'],"['Scott Adsit', 'Ryan Potter', 'Daniel Henney', 'T.J. Miller', 'Jamie Chung', 'Damon Wayans Jr.', 'Genesis Rodriguez', 'James Cromwell', 'Maya Rudolph', 'Alan Tudyk']",Henry Jackman,"['Walt Disney Studios', 'Motion Pictures']","['Rob Dressel (layout)', 'Adolph Lusinsky (lighting)']",Tim Mertens,"['Jordan Roberts', 'Robert L. Baird', 'Dan Gerson']"
Inside Out,"['Walt Disney Pictures', 'Pixar Animation Studios']",United States,English,94,175000000,858000000,18/05/2015,"After young Riley is uprooted from her Midwest life and moved to San Francisco, her emotions - Joy, Fear, Anger, Disgust and Sadness - conflict on how best to navigate a new city, house, and school.",8.1,94,98%,Pete Docter,Jonas Rivera,,"['Amy Poehler', 'Phyllis Smith', 'Richard Kind', 'Lewis Black', 'Bill Hader', 'Mindy Kaling', 'Kaitlyn Dias', 'Diane Lane', 'Kyle MacLachlan']",Michael Giacchino,"['Walt Disney Studios', 'Motion Pictures']","['Patrick Lin', 'Kim White']",Kevin Nolting,"['Pete Docter', 'Meg LeFauve', 'Josh Cooley']"
The Good Dinosaur,,United States,English,94,175000000,332200000,10/11/2015,"""The Good Dinosaur"" asks the question: What if the asteroid that forever changed life on Earth missed the planet completely and giant dinosaurs never became extinct? In this epic journey into the world of dinosaurs, an Apatosaurus named Arlo makes an unlikely human friend. While travelling through a harsh and mysterious landscape, Arlo learns the power of confronting his fears and discovers what he is truly capable of.",6.7,66,76%,Peter Sohn,Denise Ream,,"['Raymond Ochoa', 'Jack Bright', 'Sam Elliott', 'Anna Paquin', 'A.J. Buckley', 'Steve Zahn', 'Jeffrey Wright', 'Frances McDormand']","['Mychael Danna', 'Jeff Danna']","['Walt Disney Studios', 'Motion Pictures']","['Sharon Calahan', 'Mahyar Abousaeedi']",Stephen Schaffer,Meg LeFauve
Zootopia,"['Walt Disney Pictures', 'Walt Disney Animation Studios']",United States,English,108,150000000,1024000000,13/02/2016,"In a city of anthropomorphic animals, a rookie bunny cop and a cynical con artist fox must work together to uncover a conspiracy.",8,78,98%,"['Byron Howard', 'Rich Moore']",Clark Spencer,,"['Ginnifer Goodwin', 'Jason Bateman', 'Idris Elba', 'Jenny Slate', 'Nate Torrence', 'Bonnie Hunt', 'Don Lake', 'Tommy Chong', 'J. K. Simmons', 'Octavia Spencer', 'Alan Tudyk', 'Shakira']",Michael Giacchino,"['Walt Disney Studios', 'Motion Pictures']","['Nathan Warner (layout)', 'Brian Leach (lighting)']","['Fabienne Rawley', 'Jeremy Milton']","['Jared Bush', 'Phil Johnston']"
Finding Dory,"['Walt Disney Pictures', 'Pixar Animation Studios']",United States,English,97,175,1029000000,08/06/2016,"Friendly but forgetful blue tang Dory begins a search for her long-lost parents, and everyone learns a few things about the real meaning of family along the way.",7.3,77,94%,Andrew Stanton,Lindsey Collins,,"['Ellen DeGeneres', 'Albert Brooks', 'Hayden Rolence', ""Ed O'Neill"", 'Kaitlin Olson', 'Ty Burrell', 'Diane Keaton', 'Eugene Levy']",Thomas Newman,"['Walt Disney Studios', 'Motion Pictures']","['Jeremy Lasky (camera)', 'Ian Megibben (lighting)']",Axel Geddes,"['Andrew Stanton', 'Victoria Strouse']"
Moana,,['United States'],English,107,150,690800000,14/11/2016,"In Ancient Polynesia, when a terrible curse incurred by the Demigod Maui reaches Moana's island, she answers the Ocean's call to seek out the Demigod to set things right.",7.6,81,95%,"['Ron Clements', 'John Musker']",Osnat Shurer,,"['AuliÊ»i Cravalho', 'Dwayne Johnson', 'Rachel House', 'Temuera Morrison', 'Jemaine Clement', 'Nicole Scherzinger', 'Alan Tudyk']","['Mark Mancina', 'Lin-Manuel Miranda', ""Opetaia Foa'i""]","['Walt Disney Studios', 'Motion Pictures']","['Rob Dressel (layout)', 'Adolph Lusinsky (lighting)']",Jeff Draheim,Jared Bush
Cars 3,"['Walt Disney Pictures', 'Pixar Animation Studios']",United States,English,102,175000000,383900000,23/05/2017,Lightning McQueen sets out to prove to a new generation of racers that he's still the best race car in the world.,6.7,59,69%,Brian Fee,Kevin Reher,,"['Owen Wilson', 'Cristela Alonzo', 'Chris Cooper', 'Armie Hammer', 'Larry the Cable Guy', 'Bonnie Hunt', 'Nathan Fillion', 'Lea DeLaria', 'Kerry Washington']",Randy Newman,"['Walt Disney Studios', 'Motion Pictures']","['Jeremy Lasky (camera)', 'Kim White (lighting)']",Jason Hudak,"['Kiel Murray', 'Bob Peterson', 'Mike Rich']"
Coco,"['Walt Disney Pictures', 'Pixar Animation Studios']",United States,English,105,175000000,807800000,20/10/2017,"Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer.",8.4,81,97%,Lee Unkrich,Darla K. Anderson,,"['Anthony Gonzalez', 'Gael GarcÃ­a Bernal', 'Benjamin Bratt', 'Alanna Ubach', 'RenÃ©e Victor', 'Ana Ofelia MurguÃ­a', 'Edward James Olmos']",Michael Giacchino,"['Walt Disney Studios', 'Motion Pictures']","['Matt Aspbury', 'Danielle Feinberg']",Steve Bloom,"['Adrian Molina', 'Matthew Aldrich']"
Incredibles 2,,United States,English,118,200000000,1243000000,05/06/2018,The Incredibles family takes on a new mission which involves a change in family roles: Bob Parr (Mr. Incredible) must manage the house while his wife Helen (Elastigirl) goes out to save the world.,7.6,80,93%,Brad Bird,"['John Walker', 'Nicole Paradis Grindle']",,"['Craig T. Nelson', 'Holly Hunter', 'Sarah Vowell', 'Huckleberry Milner', 'Samuel L. Jackson']",Michael Giacchino,"['Walt Disney Studios', 'Motion Pictures']","['Mahyar Abousaeedi', 'Erik Smitt']",Stephen Schaffer,
Ralph Breaks the Internet,,United States,English,112,175000000,529300000,05/11/2018,"Taking place six years after saving the arcade from Turbo's vengeance, the Sugar Rush arcade cabinet has broken, forcing Ralph and Vanellope to travel to the Internet via the newly-installed Wi-Fi router in Litwak's Arcade to retrieve the piece capable of saving the game.",7.1,71,88%,"['Rich Moore', 'Phil Johnston']",Clark Spencer,,"['John C. Reilly', 'Sarah Silverman', 'Gal Gadot', 'Taraji P. Henson', 'Jack McBrayer', 'Jane Lynch', 'Alan Tudyk', 'Alfred Molina', ""Ed O'Neill""]",Henry Jackman,Walt Disney Studios Motion Pictures,"['Nathan Detroit Warner (layout)', 'Brian Leach (lighting)']",Jeremy Milton,"['Phil Johnston', 'Pamela Ribon']"
Toy Story 4,,United States,English,100,200000000,1073000000,11/06/2019,"When a new toy called ""Forky"" joins Woody and the gang, a road trip alongside old and new friends reveals how big the world can be for a toy.",7.8,84,97%,Josh Cooley,"['Mark Nielsen', 'Jonas Rivera']",,"['Tom Hanks', 'Tim Allen', 'Annie Potts', 'Tony Hale', 'Keegan-Michael Key', 'Jordan Peele', 'Madeleine McGraw', 'Christina Hendricks', 'Keanu Reeves', 'Ally Maki', 'Jay Hernandez', 'Lori Alan', 'Joan Cusack']",Randy Newman,"['Walt Disney Studios', 'Motion Pictures']","['Patrick Lin', 'Jean-Claude Kalache']",Axel Geddes,"['Andrew Stanton', 'Stephany Folsom']"
Frozen II,"['Walt Disney Pictures', 'Walt Disney Animation Studios']",United States,English,103,150000000,1450000000,07/11/2019,"A strange voice beckons to Elsa, causing elemental forces to threaten Arandelle. In order to save their home: Elsa and Anna, with their friends, must journey to the enchanted forest, and discover the truth behind their family, kingdom, and the origins of Elsa's magical powers.",6.9,64,77%,"['Chris Buck', 'Jennifer Lee']",Peter Del Vecho,,"['Kristen Bell', 'Idina Menzel', 'Josh Gad', 'Jonathan Groff']","['Christophe Beck', 'Robert Lopez', 'Kristen Anderson-Lopez']","['Walt Disney Studios', 'Motion Pictures']","['Tracy Scott Beattie (layout)', 'Mohit Kallianpur (lighting)']",Jeff Draheim,['Jennifer Lee']
Onward,"['Walt Disney Pictures', 'Pixar Animation Studios']",United States,English,102,175,141900000,21/02/2020,Two elven brothers embark on a quest to bring their father back for one day.,7.4,61,88%,Dan Scanlon,Kori Rae,,"['Tom Holland', 'Chris Pratt', 'Julia Louis-Dreyfus', 'Octavia Spencer']","['Mychael Danna', 'Jeff Danna']","['Walt Disney Studios', 'Motion Pictures']","['Sharon Calahan', 'Adam Habib']",Catherine Apple,"['Dan Scanlon', 'Jason Headley', 'Keith Bunin']"
Soul,,United States,English,101,150000000,47300000,11/10/2020,"After landing the gig of a lifetime, a New York jazz pianist suddenly finds himself trapped in a strange land between Earth and the afterlife.",7.8,86,95%,Pete Docter,Dana Murray,,"['Jamie Foxx', 'Tina Fey', 'Graham Norton', 'Rachel House', 'Alice Braga', 'Richard Ayoade', 'Phylicia Rashad', 'Donnell Rawlings', 'Questlove', 'Angela Bassett']","['Trent Reznor', 'Atticus Ross']",Walt Disney Studios Motion Pictures,"['Matt Aspbury', 'Ian Megibben']",Kevin Nolting,
Raya and the Last Dragon,"['Walt Disney Pictures', 'Walt Disney Animation Studios']",United States,English,,,,05/03/2021,"Long ago, in the fantasy world of Kumandra, humans and dragons lived together in harmony. However, when sinister monsters known as the Druun threatened the land, the dragons sacrificed themselves to save humanity. Now, 500 years later, those same monsters have returned, and it's up to a lone warrior to track down the last dragon and stop the Druun for good.",7.4,75,94%,"['Don Hall', 'Carlos LÃ³pez Estrada']","['Osnat Shurer', 'Peter Del Vecho']",,"['Kelly Marie Tran', 'Awkwafina']",James Newton Howard,"['Walt Disney Studios', 'Motion Pictures']",,,
